sample_id,record_key,title,year,author_decision,author_rationale,review_basis_used,source_locator,decision_owner,decision_date,ai_assistance,decision_status,claim_permission
RS-FC-079,doi:10.1061/(asce)co.1943-7862.0001114,Rework causation: Emergent theoretical insights and implications for research,2016,exclude-topic,The article develops a causation account for construction rework and does not assess human control over automation or source traceability.,title_abstract_and_full_text_route,https://doi.org/10.1061/(asce)co.1943-7862.0001114,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-080,doi:10.1007/s43681-022-00144-w,‘Design-for-responsible’ algorithmic decision-making systems: a question of ethical judgement and human meaningful control,2022,retain-close,"The article connects responsible algorithmic-decision design to ethical judgment and meaningful human control, directly addressing conditions for human agency in automated decisions.",title_and_abstract,https://doi.org/10.1007/s43681-022-00144-w,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-083,title:capacity workload and mental contents exploring the foundations of driver distraction|year:2010,"Capacity, workload and mental contents : exploring the foundations of driver distraction",2010,exclude-single-component,"The dissertation develops driver-distraction theory around capacity and workload but does not assess formal authority, intervention effect, or incident evidence.",title_abstract_and_full_text_route,https://jyx.jyu.fi/bitstreams/34f414e4-f3ca-4834-958e-918d158628e7/download,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-085,title:methodological framework for conducting a risk assessment study|year:2009,METHODOLOGICAL FRAMEWORK FOR CONDUCTING A RISK ASSESSMENT STUDY,2009,exclude-single-component,"The article supplies a general risk-assessment method without the paper's human-control stages, public-case selection, or evidence-state rules.",title_abstract_and_full_text_route,https://www.researchgate.net/publication/242120689_METHODOLOGICAL_FRAMEWORK_FOR_CONDUCTING_A_RISK_ASSESSMENT_STUDY,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-087,doi:10.13031/2013.41957,Management of safety and quality and the relationship with employee decisions in country grain elevators.,2012,exclude-topic,The study examines employee safety and quality decisions in grain elevators and does not assess automated control or incident reconstruction.,title_and_abstract,https://doi.org/10.13031/2013.41957,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-088,doi:10.4236/blr.2026.172032,"Two Years after the Adoption of the EU AI Act (Regulation (EU) 2024/1689, 13 June 2024): Impacts on Legal Practice through Selected Italian Judgments—Stricter Diligence Obligations and the Concept of Pedagogical Damages",2026,exclude-topic,The legal article examines Italian judgments after adoption of the EU AI Act and supplies no practical-control or incident-evidence assessment.,title_abstract_and_full_text_route,https://doi.org/10.4236/blr.2026.172032,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-091,title:from human computer interaction to human ai interaction new challenges and opportunities for enabling human centered ai|year:2021,From Human-Computer Interaction to Human-AI Interaction: New Challenges and Opportunities for Enabling Human-Centered AI,2021,retain-background,"The human-AI interaction paper maps design challenges for human-centered AI, supplying interface and collaboration context without a reconstructed control chain.",title_and_abstract,https://www.semanticscholar.org/paper/977bd3b13f3998bab099d84c22a173d6d2d9303b,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-092,title:holistic approach in engineering design controlling risks from accidental hazards in bridge design|year:2015,Holistic approach in engineering design - controlling risks from accidental hazards in bridge design,2015,exclude-single-component,The bridge-design thesis treats accidental-hazard risk controls but does not assess human authority over automation or public-incident evidence.,title_abstract_and_full_text_route,https://lup.lub.lu.se/record/8052270,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-094,title:characteristics of critical incidents in dynamic positioning|year:2013,Characteristics of critical incidents in dynamic positioning,2013,retain-background,"The thesis characterizes critical incidents in dynamic positioning, offering an operational human-system incident comparison without the paper's evidence-state procedure.",title_abstract_and_full_text_route,https://www.sintef.no/globalassets/project/hfc/documents/finalmasteroppgave-27.11.pdf,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-096,doi:10.1007/s11668-018-0534-1,"Systems-Based Analysis of China-Tianjin Port Fire and Explosion: A Comparison of HFACS, AcciMap, and STAMP",2018,retain-close,"The article applies HFACS, AcciMap, and STAMP to the same bounded port disaster, directly supporting comparison of incident-reconstruction methods and system boundaries.",title_and_abstract,https://doi.org/10.1007/s11668-018-0534-1,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-097,doi:10.1007/s00146-021-01246-5,From Blade Runners to Tin Kickers: what the governance of artificial intelligence safety needs to learn from air crash investigators,2021,retain-close,"The article transfers air-crash investigation principles to AI-safety governance and directly addresses institutional investigation, incident learning, and evidence after AI failures.",title_abstract_and_full_text_route,https://doi.org/10.1007/s00146-021-01246-5,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-098,doi:10.1007/s00146-021-01378-8,Unintentional intentionality: art and design in the age of artificial intelligence,2022,exclude-topic,The article examines intentionality in AI-mediated art and design rather than operational human control or incident evidence.,title_abstract_and_full_text_route,https://doi.org/10.1007/s00146-021-01378-8,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-099,title:the confluence of big data and artificial intelligence unraveling complex patterns and unveiling novel paradigms for transformative knowledge discovery|year:,The Confluence of Big Data and Artificial Intelligence: Unraveling Complex Patterns and Unveiling Novel Paradigms for Transformative Knowledge Discovery,,exclude-topic,"The preprint concerns large-scale knowledge discovery from big data and AI, not human intervention or incident reconstruction.",title_abstract_and_full_text_route,https://easychair.org/publications/preprint/njvZ/open,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-100,doi:10.4148/npp.15519,Unmanned Aircraft Systems in the Cyber Domain,2019,retain-background,"The paper examines unmanned-aircraft cyber operations and associated human-system risks, providing a domain comparison without a practical-control evidence chain.",title_abstract_and_full_text_route,https://doi.org/10.4148/npp.15519,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-101,title:the role of human factors in led outdoor activity accidents literature review and exploratory analysis|year:2009,The role of human factors in led outdoor activity accidents: literature review and exploratory analysis,2009,retain-background,"The report reviews and explores human factors in led-outdoor accidents, informing incident-analysis scope without the paper's formal-authority distinction or claim-level provenance.",title_abstract_and_full_text_route,https://outdoorcouncil.asn.au/wp-content/uploads/2016/08/OAI_REPORT_FINAL_VERSION_OCT_15th_2009.pdf,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
